Sn,Task Name,Activity Type,Planned Start,Planned Finish,Actual Start,Actual Finish,PGMA,Parent WBS Level
1,Zero Date of Project,MIL,2022-09-27,2022-09-27,2022-09-27,2022-09-27,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
2,Milestones/ as per Work Schedule,MIL,2022-10-27,2026-09-25,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
3,Milestones: Basic Engineering,MIL,2022-10-27,2023-02-23,,,,1.2(Milestones/ as per Work Schedule)
4,Milestones: Detailed Engineering,MIL,2022-12-26,2024-02-18,,,,1.2(Milestones/ as per Work Schedule)
5,Milestone: Commencement of Manufacturing,MIL,2023-03-25,2023-03-25,,,,1.2(Milestones/ as per Work Schedule)
6,Ordering of Major BOIs,MIL,2023-03-26,2023-09-21,,,,1.2(Milestones/ as per Work Schedule)
7,Milestone: COMPLETION of Ordering of Balance BOIs,MIL,2025-01-21,2025-01-21,,,,1.2(Milestones/ as per Work Schedule)
8,Milestone: Establishment of Storage & pre-assembly yard,MIL,2023-01-30,2023-05-29,,,,1.2(Milestones/ as per Work Schedule)
9,Milestones: Supply of foundation materials for Boiler and Bunker Structures ,MIL,2023-03-29,2023-03-29,,,,1.2(Milestones/ as per Work Schedule)
10,Milestones: Commencement of supplies of Structures & Main Equipment,MIL,2023-06-28,2023-06-28,,,,1.2(Milestones/ as per Work Schedule)
11,Milestones: Boiler Erection Start,MIL,2023-09-26,2023-09-26,,,,1.2(Milestones/ as per Work Schedule)
12,Milestones: Ceiling Girder Lifting,MIL,2024-07-25,2024-07-25,,,,1.2(Milestones/ as per Work Schedule)
13,Milestones: Drainable Hydro Test ,MIL,2025-07-26,2025-07-26,,,,1.2(Milestones/ as per Work Schedule)
14,Milestones: Non Drainable Hydro test Readiness,MIL,2025-11-29,2025-11-29,,,,1.2(Milestones/ as per Work Schedule)
15,Milestones: Supply of Critical piping,MIL,2025-05-30,2025-05-30,,,,1.2(Milestones/ as per Work Schedule)
16,Milestones: Pre-Assembly/Erection of Critical piping,MIL,2024-03-25,2025-09-15,,,,1.2(Milestones/ as per Work Schedule)
17,Milestones: C&I  readiness for Boiler Light up,MIL,2026-01-19,2026-01-19,,,,1.2(Milestones/ as per Work Schedule)
18,Milestones: Boiler Light up & Chemical Cleaning,MIL,2026-01-24,2026-01-24,,,,1.2(Milestones/ as per Work Schedule)
19,Milestones: Supply of Coal Mills ,MIL,2023-10-27,2024-10-20,,,,1.2(Milestones/ as per Work Schedule)
20,Milestones: Steam Blowing start with Coal,MIL,2026-02-27,2026-02-27,,,,1.2(Milestones/ as per Work Schedule)
21,Milestones: Steam Blowing COMPLETION with Coal,MIL,2026-03-26,2026-03-26,,,,1.2(Milestones/ as per Work Schedule)
22,Milestones: Condenser Erection start,MIL,2024-07-31,2024-07-31,,,,1.2(Milestones/ as per Work Schedule)
23,Milestones: Turbine Erection start,MIL,2024-08-07,2024-08-07,,,,1.2(Milestones/ as per Work Schedule)
24,Milestones: Generator Stator lifting,MIL,2025-04-07,2025-04-07,,,,1.2(Milestones/ as per Work Schedule)
25,Milestone: Supply of CW Puddle flange,MIL,2024-03-19,2024-03-19,,,,1.2(Milestones/ as per Work Schedule)
26,Milestone: Supply of TG Embedment,MIL,2023-12-25,2023-12-25,,,,1.2(Milestones/ as per Work Schedule)
27,Milestone: Supply of EOT Crane,MIL,2024-02-11,2024-02-11,,,,1.2(Milestones/ as per Work Schedule)
28,Milestones: Turbine Box up,MIL,2025-09-25,2025-09-25,,,,1.2(Milestones/ as per Work Schedule)
29,Milestone: Turbine Oil flushing COMPLETION,MIL,2025-11-25,2025-11-25,,,,1.2(Milestones/ as per Work Schedule)
30,Milestones: Turbine on Barring gear,MIL,2026-01-26,2026-01-26,,,,1.2(Milestones/ as per Work Schedule)
31,Milestones: Synchronization on Coal,MIL,2026-05-26,2026-05-26,,,,1.2(Milestones/ as per Work Schedule)
32,Milestones: Full Load operation,MIL,2026-06-25,2026-06-25,,,,1.2(Milestones/ as per Work Schedule)
33,Milestones: COMPLETION of Trial Operation & PG test,MIL,2026-06-25,2026-07-24,,,,1.2(Milestones/ as per Work Schedule)
34,Milestones: COMPLETION of Major supplies,MIL,2026-01-11,2026-01-11,,,,1.2(Milestones/ as per Work Schedule)
35,Milestones: COMPLETION of all Supplies,MIL,2026-02-09,2026-02-09,,,,1.2(Milestones/ as per Work Schedule)
36,Milestones: COMPLETION of site delivery of all mandatory spares,MIL,2025-12-09,2025-12-09,,,,1.2(Milestones/ as per Work Schedule)
37,Milestones: COMPLETION of Facilities,MIL,2026-09-25,2026-09-25,,,,1.2(Milestones/ as per Work Schedule)
38,Readiness of Major Civil Foundation,CIV,2023-06-27,2025-07-27,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
39,Readiness of Major Civil Foundation: Boiler Foundation,CIV,2023-09-25,2023-09-25,,,,1.3(Readiness of Major Civil Foundation)
40,Readiness of Major Civil Foundation: ESP Foundation,CIV,2023-12-22,2023-12-22,,,,1.3(Readiness of Major Civil Foundation)
41,Readiness of Major Civil Foundation: Commencement of Excavation for TG Building,CIV,2023-06-27,2023-06-27,,,,1.3(Readiness of Major Civil Foundation)
42,Readiness of Major Civil Foundation: Casting of TG Raft,CIV,2023-08-31,2023-08-31,,,,1.3(Readiness of Major Civil Foundation)
43,Readiness of Major Civil Foundation: Casting of TG Deck,CIV,2024-04-07,2024-04-07,,,,1.3(Readiness of Major Civil Foundation)
44,Readiness of Major Civil Foundation: Readiness of TG Deck with EOT crane and approach,CIV,2024-08-06,2024-08-06,,,,1.3(Readiness of Major Civil Foundation)
45,Readiness of Major Civil Foundation: Condenser Foundation,CIV,2024-02-23,2024-02-23,,,,1.3(Readiness of Major Civil Foundation)
46,Readiness of Major Civil Foundation: ID Fan Foundation,CIV,2024-06-27,2024-06-27,,,,1.3(Readiness of Major Civil Foundation)
47,Readiness of Major Civil Foundation: FD Fan Foundation,CIV,2025-07-09,2025-07-09,,,,1.3(Readiness of Major Civil Foundation)
48,Readiness of Major Civil Foundation: PA Fan Foundation,CIV,2025-07-27,2025-07-27,,,,1.3(Readiness of Major Civil Foundation)
49,Readiness of Major Civil Foundation: SA Fan Foundation,CIV,2025-07-09,2025-07-09,,,,1.3(Readiness of Major Civil Foundation)
50,Readiness of Major Civil Foundation: Mill Foundation,CIV,2024-09-15,2024-09-15,,,,1.3(Readiness of Major Civil Foundation)
51,Readiness of Major Civil Foundation: Bunker Bay Foundation,CIV,2023-09-27,2025-01-04,,,,1.3(Readiness of Major Civil Foundation)
52,Readiness of Major Civil Foundation: MDBFP Foundation,CIV,2025-01-07,2025-01-07,,,,1.3(Readiness of Major Civil Foundation)
53,Readiness of Major Civil Foundation: TDBFP Foundation,CIV,2025-02-07,2025-02-07,,,,1.3(Readiness of Major Civil Foundation)
54,Readiness of Major Civil Foundation: CEP Foundation,CIV,2024-08-05,2024-08-05,,,,1.3(Readiness of Major Civil Foundation)
55,Readiness of Major Civil Foundation: BOF-ESP Duct Foundation,CIV,2025-04-20,2025-04-20,,,,1.3(Readiness of Major Civil Foundation)
56,Readiness of Major Civil Foundation: ESP-ID Duct Foundation,CIV,2024-09-26,2024-09-26,,,,1.3(Readiness of Major Civil Foundation)
57,Readiness of Major Civil Foundation: ID-Chimney Duct Foundation,CIV,2024-11-27,2024-11-27,,,,1.3(Readiness of Major Civil Foundation)
58,Readiness of Major Civil Foundation: GT Foundation,CIV,2024-09-09,2024-09-09,,,,1.3(Readiness of Major Civil Foundation)
59,Readiness of Major Civil Foundation: ST Foundation,CIV,2025-02-20,2025-02-20,,,,1.3(Readiness of Major Civil Foundation)
60,Readiness of Major Civil Foundation: UAT Foundation,CIV,2025-01-01,2025-01-01,,,,1.3(Readiness of Major Civil Foundation)
61,Readiness of Major Civil Foundation: SAT Foundation,CIV,2025-01-03,2025-01-03,,,,1.3(Readiness of Major Civil Foundation)
62,Readiness of Major Civil Foundation: SPBD Foundation,CIV,2025-04-22,2025-04-22,,,,1.3(Readiness of Major Civil Foundation)
63,Readiness of Major Civil Foundation: IPBD Foundation,CIV,2025-02-22,2025-02-22,,,,1.3(Readiness of Major Civil Foundation)
64,Readiness of Major Equipment and system,OTH,2025-02-20,2026-06-20,,,,"1(EPC Package for Talcher Thermal Power Project, Stage-III (2X660MW))"
65,Readiness of Major Equipment and system: DMCW System,OTH,2025-08-19,2025-08-19,,,,1.4(Readiness of Major Equipment and system)
66,Readiness of Major Equipment and system: First ID Fan,OTH,2025-12-31,2025-12-31,,,,1.4(Readiness of Major Equipment and system)
67,Readiness of Major Equipment and system: Second ID Fan,OTH,2026-03-31,2026-03-31,,,,1.4(Readiness of Major Equipment and system)
68,Readiness of Major Equipment and system: First FD Fan,OTH,2025-12-09,2025-12-09,,,,1.4(Readiness of Major Equipment and system)
69,Readiness of Major Equipment and system: Second FD Fan,OTH,2026-02-03,2026-02-03,,,,1.4(Readiness of Major Equipment and system)
70,Readiness of Major Equipment and system: First APH,OTH,2025-11-29,2025-11-29,,,,1.4(Readiness of Major Equipment and system)
71,Readiness of Major Equipment and system: Second APH,OTH,2026-02-01,2026-02-01,,,,1.4(Readiness of Major Equipment and system)
72,Readiness of Major Equipment and system: Second PA Fan,OTH,2026-03-06,2026-03-06,,,,1.4(Readiness of Major Equipment and system)
73,Readiness of Major Equipment and system: First PA Fan,OTH,2026-02-19,2026-02-19,,,,1.4(Readiness of Major Equipment and system)
74,Readiness of Major Equipment and system: SA Fan,OTH,2026-05-01,2026-05-01,,,,1.4(Readiness of Major Equipment and system)
75,Readiness of Major Equipment and system: MDBFP,OTH,2025-09-17,2025-09-17,,,,1.4(Readiness of Major Equipment and system)
