Sn,Task Name,Activity Type,Planned Start,Planned Finish
2,Milestones/ as per Work Schedule,MIL,2022-10-27,2026-09-25
3,Milestones: Basic Engineering,MIL,2022-10-27,2023-02-23
4,Milestones: Detailed Engineering,MIL,2022-12-26,2024-02-18
5,Milestone: Commencement of Manufacturing,MIL,2023-03-25,2023-03-25
6,Ordering of Major BOIs,MIL,2023-03-26,2023-09-21
7,Milestone: COMPLETION of Ordering of Balance BOIs,MIL,2025-01-21,2025-01-21
8,Milestone: Establishment of Storage & pre-assembly yard,MIL,2023-01-30,2023-05-29
9,Milestones: Supply of foundation materials for Boiler and Bunker Structures ,MIL,2023-03-29,2023-03-29
10,Milestones: Commencement of supplies of Structures & Main Equipment,MIL,2023-06-28,2023-06-28
11,Milestones: Boiler Erection Start,MIL,2023-09-26,2023-09-26
12,Milestones: Ceiling Girder Lifting,MIL,2024-07-25,2024-07-25
13,Milestones: Drainable Hydro Test ,MIL,2025-07-26,2025-07-26
14,Milestones: Non Drainable Hydro test Readiness,MIL,2025-11-29,2025-11-29
15,Milestones: Supply of Critical piping,MIL,2025-05-30,2025-05-30
16,Milestones: Pre-Assembly/Erection of Critical piping,MIL,2024-03-25,2025-09-15
17,Milestones: C&I  readiness for Boiler Light up,MIL,2026-01-19,2026-01-19
18,Milestones: Boiler Light up & Chemical Cleaning,MIL,2026-01-24,2026-01-24
19,Milestones: Supply of Coal Mills ,MIL,2023-10-27,2024-10-20
20,Milestones: Steam Blowing start with Coal,MIL,2026-02-27,2026-02-27
21,Milestones: Steam Blowing COMPLETION with Coal,MIL,2026-03-26,2026-03-26
22,Milestones: Condenser Erection start,MIL,2024-07-31,2024-07-31
23,Milestones: Turbine Erection start,MIL,2024-08-07,2024-08-07
24,Milestones: Generator Stator lifting,MIL,2025-04-07,2025-04-07
25,Milestone: Supply of CW Puddle flange,MIL,2024-03-19,2024-03-19
26,Milestone: Supply of TG Embedment,MIL,2023-12-25,2023-12-25
27,Milestone: Supply of EOT Crane,MIL,2024-02-11,2024-02-11
28,Milestones: Turbine Box up,MIL,2025-09-25,2025-09-25
29,Milestone: Turbine Oil flushing COMPLETION,MIL,2025-11-25,2025-11-25
30,Milestones: Turbine on Barring gear,MIL,2026-01-26,2026-01-26
31,Milestones: Synchronization on Coal,MIL,2026-05-26,2026-05-26
